language,Audio_transcript,File,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s,provider,model,num_segments,real_time_factor,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,lwWER,toWER,OIWER,script_penalty,SemanticSim,LevenshteinSim,PIER,CS_Recall,CS_Precision,CS_F1
bhojpuri,1e7ztqLcCmV18GqnzrkTeVNti9CKeTQka,Audio188,Bhojpuri,All,11.62,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Monologue-like,,,4,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,130,0.50x,350.596,0.79940,0.7066,0.7701,0.8488,0.1512,308,10,2041,66.2,117,3.8,0.7994,0.7994,0.7986,0,0.9345,0.2934,1,0,0,0
Indian Bengali,1TIFeD1gCYpK4s3ErmZZog54YKb-T5iJu,Bengali (Non Kolkata)_63_1915,Bengali (Non Kolkata),All,9.63,Medium (5-15 min),Same Gender,Same State,Mixed Age Group,No Overlap,Low (1-5s),Monologue-like,West Bengal,West Bengal,1,0,openai_gpt4o,gpt-4o-transcribe,45,0.42x,240.81,0.79850,0.7156,0.7913,0.8915,0.1085,459,18.9,1457,60,22,0.9,0.7994,0.7985,0.7928,-0.0009,0.9267,0.2844,1,0,1,0
punjabi,198RAiea-Ytxs2Q5h82UULitgPAtrOjwd,Punjabi_196_1620,Punjabi,All,16.33,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Punjab,Punjab,20,0,elevenlabs,scribe_v2,91,0.10x,94.938,0.79510,0.547,0.7943,0.9529,0.0471,3571,69.2,526,10.2,5,0.1,0.7964,0.7951,0.7979,-0.0013,0.3693,0.4644,0,1,0,0
bhojpuri,14ds2IYhmznkolZBQjr13MHI3Wppr1FiI,Audio256,Bhojpuri,All,10.65,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Monologue-like,,,3,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,48,0.53x,338.09,0.79450,0.7249,0.7851,0.8591,0.1409,320,10.6,2037,67.6,36,1.2,0.7945,0.7945,0.7931,0,0.9882,0.2751,1,0,0,0
nepali,1AyUXWBJE-VlRaOWNYQuYTp8sTn70jzPz,Nepali_59_1434,Nepali,All,14.57,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Nepal,Nepal,2,0,gladia,gladia-v2,215,0.05x,42.842,0.79440,0.6997,0.7881,0.8874,0.1126,826,18.3,2716,60.3,36,0.8,0.7955,0.7944,0.7925,-0.0011,0.8401,0.3003,0.8974,0.1186,0.0458,0.066
Indian Bengali,1cg1sGP6EbqeVpXpxEvJYpmHGcQcwc8ez,Bengali (Non Kolkata)_281_2053,Bengali (Non Kolkata),All,15.67,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,West Bengal,West Bengal,16,0,gladia,gladia-v2,506,0.07x,68.93,0.79300,0.6009,0.7723,0.9369,0.0631,2467,60.6,653,16,109,2.7,0.8007,0.7903,0.7867,-0.0077,0.853,0.3991,0.8963,0.2453,0.0344,0.0603
assamese,15gHj4c3CSlcMY_0dLr7SRjLn0CNBzEXU,Assamese_227_2908,Assamese,All,21.87,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,High (>20s),Balanced Dialogue,,,45,0,gladia,gladia-v2,677,0.19x,249.93,0.79260,0.5772,0.7595,0.929,0.071,2837,59.2,750,15.7,209,4.4,0.8214,0.7369,0.7937,-0.0288,0.7823,0.4493,1,0,0,0
gujarati,1yBQk2FRxEALWWctYgaVFMhVGDB2Lxc3_,Gujarati_411_1851,Gujarati,All,18.85,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,9,0,gladia,gladia-v2,472,0.16x,176.342,0.79240,0.5326,0.7847,0.9443,0.0557,3354,62.2,864,16,53,1,0.7924,0.7924,0.7903,0,0.8868,0.4674,0,1,0,0
nepali,1-k3C5iPRbsgJmBXtAnlM50xIlkCenYQR,Nepali_164_1847,Nepali,All,18.78,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Nepal,Nepal,5,0,aws_transcribe,aws-transcribe,45,n/a,0,0.79140,0.7045,0.7883,0.8892,0.1108,1099,19.1,3424,59.6,23,0.4,0.7914,0.7914,0.7874,0,0.9201,0.2955,1,0,1,0
kannada,1FZdpmWATY2TYEou2LMB3WeSI1OUlbow3,Kannada_232_1614,Kannada,All,16.23,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Karnataka,Karnataka,10,0,gladia,gladia-v2,407,0.09x,84.676,0.79030,0.5504,0.7526,0.9249,0.0751,2677,58.9,687,15.1,228,5,0.7904,0.7903,0.8084,-0.0001,0.8243,0.4496,0.8248,0.2533,0.3558,0.2959
Indian Bengali,1N53CNixarwnd85RaN69cJDPFzwrdvk65,Bengali (Kolkata)_218_1634,Bengali,All,16.57,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,13,0,gladia,gladia-v2,447,0.17x,150.564,0.79000,0.4995,0.6883,0.8807,0.1193,2407,56.7,318,7.5,627,14.8,0.8084,0.7898,0.8639,-0.0184,0.7034,0.5005,0.8462,0.2412,0.2657,0.2529
Spoken Tamil,1KuAIBAYwDl9N1YTrmAIC4cZFFo1NE-sg,Tamilish_508_1943,Spoken Tamil,All,19.72,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,High (>20s),Rapid Exchange,Tamil Nadu,Tamil Nadu,43,0,soniox,stt-async-v4,160,0.10x,104.502,0.78920,0.4727,0.5309,0.6718,0.3282,1535,29.8,24,0.5,2507,48.7,0.7841,0.7892,1.0691,0.0051,0.7603,0.5273,0.9819,0.0338,1,0.0653
nepali,1eB1hDP31JNCYKIT40LJAeab1wOF87otF,Nepali_329_1611,Nepali,All,16.18,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,14,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,179,0.34x,307.163,0.78910,0.7094,0.7744,0.8658,0.1342,665,14.5,2870,62.5,87,1.9,0.7891,0.7891,0.7882,0,0.9651,0.2906,0.9028,0.1453,0.5814,0.2326
assamese,1MsPfF_fY0zbls4shEmoopnhnDhIqR1KD,Assamese_59_3123,Assamese,All,23.55,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,1,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,100,0.16x,229.011,0.78820,0.6299,0.771,0.8977,0.1023,1624,28,2824,48.6,130,2.2,0.8054,0.7357,0.8009,-0.0172,0.9364,0.3701,0,1,1,1
bhojpuri,1br0YSq9j185DexCNutEjWMvuX-HMuj_R,Bhojpuri_40_2501,Bhojpuri,All,25.02,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,High (>20s),Rapid Exchange,Bihar,Bihar,73,0,gemini_pro,gemini-2.5-pro,1,0.23x,344.81,0.78820,1.4864,0.5519,0.6918,0.3082,1874,26.1,711,9.9,3075,42.8,0.7882,0.7882,0.681,0,0.4242,0.3204,0,1,0,0
nepali,12uoznKuq0wP0eRDhYCvg4SghNPUyfCQT,Nepali_401_2128,Nepali,All,21.47,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,High (>20s),Rapid Exchange,West Bengal,West Bengal,28,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,168,0.31x,358.626,0.78740,0.6584,0.7416,0.857,0.143,1110,19,3126,53.6,360,6.2,0.7878,0.7874,0.7904,-0.0004,0.9272,0.3416,0.8575,0.2008,0.8929,0.3279
