locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
pt-BR,Latam_POR_BR_208,gemini_pro,gemini-2.5-pro,27,132.472,382.24%,2.3433,0.8031,0.8144,0.1856,25,3.6,18,2.6,2583,376,0.9958,0.2891,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_208,gemini_flash,gemini-2.5-flash,188,103.162,109.32%,0.9706,0.5345,0.5543,0.4457,25,3.6,8,1.2,718,104.5,0.9948,0.5003,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_208,microsoft,ConversationTranscriber,6,48.22,75.98%,0.7594,0.7587,0.7734,0.2266,10,1.5,511,74.4,1,0.1,0.9457,0.2406,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_046,microsoft,ConversationTranscriber,89,425.997,55.18%,0.5201,0.5478,0.5739,0.4261,107,2.4,2314,52,33,0.7,0.9895,0.4799,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
pt-BR,Latam_POR_BR_046,gemini_pro,gemini-2.5-pro,90,191.333,54.35%,0.5167,0.5404,0.5613,0.4387,85,1.9,2306,51.9,26,0.6,0.9875,0.4833,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
vi-VN,PhongThanh_16_3000,gemini_pro,gemini-2.5-pro,182,240.017,47.62%,0.4302,0.4745,0.5415,0.4585,491,7.6,2575,39.7,23,0.4,0.9705,0.5698,Vietnamese,Vietnamese,Vietnamese,30,Long,Male,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-PE,Latam_SPA_PE_056,microsoft,ConversationTranscriber,109,605.481,42.63%,0.3797,0.424,0.4599,0.5401,155,3.6,1635,38.4,23,0.5,0.9803,0.6203,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
es-PE,Latam_SPA_PE_056,gladia,gladia-v2,854,46.519,35.93%,0.2795,0.3559,0.4304,0.5696,351,8.3,1137,26.7,40,0.9,0.979,0.7205,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
pt-BR,Latam_POR_BR_208,openai_gpt4o,gpt-4o-transcribe,64,47.459,33.04%,0.2786,0.3285,0.3985,0.6015,53,7.7,170,24.7,4,0.6,0.9787,0.7214,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_208,openai_gpt4o_mini,gpt-4o-mini-transcribe,66,42.058,33.04%,0.2764,0.3285,0.4031,0.5969,57,8.3,166,24.2,4,0.6,0.9787,0.7236,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
pt-BR,Latam_POR_BR_024,gladia,gladia-v2,636,26.983,32.61%,0.2314,0.3212,0.4145,0.5855,321,10.7,614,20.4,46,1.5,0.8729,0.7686,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
vi-VN,HnamLien_04_3013.wav,gladia,gladia-v2,992,54.116,31.70%,0.2473,0.2956,0.3877,0.6123,515,10.4,696,14.1,357,7.2,0.8521,0.7527,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_308,gladia,gladia-v2,792,36.559,31.44%,0.2112,0.31,0.4185,0.5815,429,12.8,575,17.2,48,1.4,0.9748,0.7888,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
vi-VN,HnamLien_08_3007.wav,openai_gpt4o_mini,gpt-4o-mini-transcribe,376,141.568,30.89%,0.2504,0.303,0.3832,0.6168,461,8.9,1047,20.1,101,1.9,0.778,0.7496,Vietnamese,Vietnamese,Vietnamese,30.12,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,51.69,0
es-VE,Latam_SPA_VE_036,gladia,gladia-v2,417,39.643,29.61%,0.2273,0.2937,0.3861,0.6139,209,10.6,361,18.2,16,0.8,0.8024,0.7727,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
pt-BR,Latam_POR_BR_217,gladia,gladia-v2,762,55.203,28.93%,0.2013,0.2848,0.3688,0.6312,288,9.4,551,18,49,1.6,0.9529,0.7987,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
vi-VN,HnamLien_08_3007.wav,openai_gpt4o,gpt-4o-transcribe,425,145.304,28.80%,0.2269,0.2825,0.3654,0.6346,480,9.2,919,17.6,101,1.9,0.778,0.7731,Vietnamese,Vietnamese,Vietnamese,30.12,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,51.69,0
